Omega, R, OmegaR, RoverD,,,Omega,
0.004,13.1424,0.0525697,4.77626,,,0.004,27.02352987
0.008,13.1369,0.105095,4.77492,,,0.008,26.99596368
0.012,13.1424,0.157709,4.7766,,,0.012,26.98044337
0.016,13.145,0.210321,4.78018,,,0.016,26.94889382
0.02,13.139,0.26278,4.78057,,,0.02,26.8904534
0.024,13.1407,0.315377,4.78389,,,0.024,26.8390349
0.028,13.1376,0.367852,4.78551,,,0.028,26.77019501
0.032,13.147,0.420705,4.79196,,,0.032,26.71945566
0.036,13.1552,0.473588,4.79845,,,0.036,26.66018753
0.04,13.157,0.52628,4.80474,,,0.04,26.58321343
0.044,13.1572,0.578918,4.8081,,,0.044,26.49909121
0.048,13.1707,0.632192,4.81937,,,0.048,26.43749801
0.052,13.1685,0.684764,4.82438,,,0.052,26.34325006
0.056,13.162,0.73707,4.82768,,,0.056,26.23946144
0.06,13.1723,0.790341,4.83693,,,0.06,26.16672082
0.064,13.1798,0.843504,4.8455,,,0.064,26.0883495
0.068,13.1698,0.895543,4.85044,,,0.068,25.97778336
0.072,13.1865,0.949431,4.86548,,,0.072,25.91759306
0.076,13.1872,1.00223,4.87298,,,0.076,25.82909461
0.08,13.1951,1.05561,4.88549,,,0.08,25.75542231
0.084,13.1961,1.10847,4.89489,,,0.084,25.67114939
0.088,13.1863,1.16039,4.90072,,,0.088,25.56970513
0.092,13.191,1.21358,4.91337,,,0.092,25.49693031
0.096,13.1865,1.2659,4.9222,,,0.096,25.41031832
0.1,13.1859,1.31859,4.93317,,,0.1,25.33350377
0.104,13.2157,1.37443,4.95579,,,0.104,25.31354385
0.108,13.1844,1.42391,4.9575,,,0.108,25.18811136
0.112,13.1791,1.47606,4.96761,,,0.112,25.11187924
0.116,13.1636,1.52698,4.97627,,,0.116,25.0207301
0.12,13.1573,1.57888,4.9874,,,0.12,24.94890459
0.124,13.1542,1.63112,5.00074,,,0.124,24.88576496
0.128,13.1454,1.68261,5.01122,,,0.128,24.81562507
0.132,13.1202,1.73187,5.0175,,,0.132,24.71965507
0.136,13.1039,1.78213,5.02521,,,0.136,24.64228127
0.14,13.1061,1.83485,5.04102,,,0.14,24.60032102
0.144,13.1,1.8864,5.05492,,,0.144,24.54661047
0.148,13.0764,1.9353,5.062,,,0.148,24.46486552
0.152,13.0629,1.98555,5.07284,,,0.152,24.40358271
0.156,13.0523,2.03617,5.08587,,,0.156,24.35004023
0.16,13.0228,2.08365,5.09069,,,0.16,24.2656468
0.164,13.0155,2.13455,5.10529,,,0.164,24.22295327
0.168,12.9873,2.18186,5.11177,,,0.168,24.14561596
0.172,12.9698,2.2308,5.12314,,,0.172,24.08953075
0.176,12.9511,2.2794,5.13393,,,0.176,24.03353424
0.18,12.93,2.32739,5.14443,,,0.18,23.9753948
0.184,12.9012,2.37382,5.15093,,,0.184,23.90551435
0.188,12.8678,2.41915,5.15713,,,0.188,23.8292795
0.192,12.8522,2.46763,5.17,,,0.192,23.78688523
0.196,12.8233,2.51337,5.17517,,,0.196,23.72236439
0.2,12.8043,2.56085,5.18802,,,0.2,23.67746662
0.204,12.778,2.60671,5.19522,,,0.204,23.62103392
0.208,12.7493,2.65185,5.20339,,,0.208,23.56181139
0.212,12.7126,2.69508,5.20989,,,0.212,23.48945278
0.216,12.6888,2.74078,5.21872,,,0.216,23.44209945
0.22,12.6498,2.78295,5.22253,,,0.22,23.36819633
0.224,12.631,2.82934,5.23383,,,0.224,23.33279217
0.228,12.603,2.87349,5.24305,,,0.228,23.28172032
0.232,12.5621,2.9144,5.24552,,,0.232,23.20786621
0.236,12.5377,2.9589,5.25567,,,0.236,23.16580757
0.24,12.5037,3.00089,5.26178,,,0.24,23.10692423
0.244,12.4652,3.0415,5.26768,,,0.244,23.04056426
0.248,12.4405,3.08525,5.2763,,,0.248,23.00111991
0.252,12.4044,3.1259,5.28264,,,0.252,22.94110289
0.256,12.3706,3.16687,5.28916,,,0.256,22.88627568
0.26,12.3282,3.20533,5.29126,,,0.26,22.81584865
0.264,12.2975,3.24655,5.2987,,,0.264,22.76846915
0.268,12.2655,3.28715,5.305,,,0.268,22.7193619
0.272,12.2308,3.32679,5.31002,,,0.272,22.66576037
0.276,12.1907,3.36463,5.31357,,,0.276,22.60234254
0.28,12.1459,3.40086,5.31646,,,0.28,22.53032048
0.284,12.1159,3.44093,5.32288,,,0.284,22.48758526
0.288,12.079,3.47876,5.33,,,0.288,22.43194892
0.292,12.0453,3.51722,5.33642,,,0.292,22.38307339
0.296,12.0015,3.55245,5.33693,,,0.296,22.31477103
0.3,11.9615,3.58844,5.33982,,,0.3,22.2543042
0.304,11.936,3.62853,5.35036,,,0.304,22.22297906
0.308,11.9016,3.66568,5.35407,,,0.308,22.17443621
0.312,11.8538,3.69838,5.35553,,,0.312,22.09944726
0.316,11.8142,3.7333,5.35987,,,0.316,22.04107631
0.32,11.7751,3.76804,5.36179,,,0.32,21.9839569
